id;name;fee;reason;item_type;types_of_fee;agree;requestid;workflowid
1;Vietnam challenge Kenya;75106;Pound;ContractAmount;DueDiligence;true;46474;6874
2;HTTP tan Handmade;82961;Buckinghamshire Corporate;CostBudget;IT;false;58758;66209
3;Rubber;10229;Health application viral;CostBudget;DueDiligence;true;72926;74601
4;feed;69102;Shoes 路;CostBudget;DueDiligence;true;90846;35389
5;CFA;76347;Concrete;ContractAmount;IT;false;52688;77982
6;synergy 桥;30349;Bedfordshire Home 上海市;ContractAmount;Purchase;true;65742;21988
7;Compatible Berkshire;50480;Executive Awesome;CostBudget;Purchase;true;16263;25850
8;synthesizing cross-platform Chicken;86741;西藏 Security;ContractAmount;DueDiligence;true;36921;85589
9;宁夏 parse;72367;AGP Ball;ContractAmount;DueDiligence;false;823;70944
10;Small;93066;Burundi alarm;CostBudget;Purchase;false;88244;59339
